タイトル,発売,販売,発売日,特殊,状態
3x3EYS聖魔降臨伝,,,,,
MOTHER2,,,,,
R-TYPE3,,,,,
R-TYPE3&SUPER R-TYPE,,,,,
SDガンダムX,,,,,
SD機動戦士ガンダム V作戦始動,,,,,
SUPER R-TYPE,,,,,
アイアンコマンドー(rev),,,,,
アクトレイザー,,,,,
アンダーカバーコップス(eur-rev),,,,,
エメラルドドラゴン,,,,,
がんばれゴエモン ゆき姫救出絵巻,,,,,
がんばれゴエモン2 奇天烈将軍マッギネス,,,,,
ギャラクシーウォーズ,,,,,
グラディウスⅢ,,,,,
コットン100%(eur),,,,,
サンサーラナーガ2,,,,,
サンドラの大冒険,,,,,
ジーコサッカー,,,,,
スーパーアレスタ,,,,,
スーパーストリートファイター2,,,,,
スーパーパチスロ麻雀,,,,,
スーパーマリオカート,,,,DSP1,
スーパーマリオワールド,,,,,
スーパーメトロイド,,,,,
スーパーリアル麻雀PⅣ,,,,,
スーパー桃太郎電鉄DX,,,,,
ストリートファイター2,,,,,
ストリートファイター2ターボ,,,,,
ストリートファイターZERO2,,,,,
スペースインベーダー,,,,,
ゼルダの伝説 神々のトライフォース,,,,,
ソウルブレイダー,,,,,
ダークハーフ,,,,,
ダービースタリオン96,,,,,
タクティクスオウガ,,,,,
ダライアスツイン,,,,,
デザエモン,,,,,
ドラゴンクエスト1&2,,,,,
ドレミファンタジー ミロンのドキドキ大冒険,,,,,
ナイツ オブ ザ ラウンド,,,,,
ニチブツアーケードクラシックス,,,,,
パーラー!mini,,,,,
パーラー!mini4,,,,,
パーラー!mini6,,,,,
パロディウスだ!,,,,,
ファイナルファンタジー6,,,,,
ファイヤーエムブレム紋章の謎,,,,,
ブランディッシュ,,,,,
ブランディッシュ2 EXPART,,,,,
ぽっぷるメイル,,,,,
マジックソード,,,,,
リブルラブル,,,,,
ロマンシングサガ,,,,,
ロマンシングサガ2,,,,,
改造町人シュビビンマン零,,,,,
奇々怪界 月夜草紙,,,,,
奇々怪界 謎の黒マント,,,,,
機動戦士Vガンダム,,,,,
極上パロディウス,,,,,
高橋名人の大冒険島,,,,,
実況おしゃべりパロディウス,,,,SA-1,
重装騎兵ヴァルケン,,,,,
真女神転生,,,,,
星のカービィ スーパーデラックス,,,,SA-1,
星のカービィ3,,,,SA-1,
聖剣伝説2,,,,,
聖剣伝説3,,,,,
超攻合神サーディオン,,,,,
超魔界村,,,,,
馬券錬金術,,,,,
美少女雀士スーチーパイ,,,,,
美少女戦士セーラームーン,,,,,
美少女戦士セーラームーンR,,,,,
美食戦隊薔薇野郎(rev),,,,,
必殺パチンココレクション,,,,,
必殺パチンココレクション2,,,,,
必殺パチンココレクション3,,,,,
必殺パチンココレクション4,,,,,
魔獣王(rev),,,,,
魔法陣グルグル,,,,,
