タイトル,作者,出版,掲載紙,原作,発行年,持ち欠け,掲載期間,サイズ,各刊発行年　版
プラスチックリトル オールカラー完全版,うるし原智志,学研,ノーラ,,2012/10/13,1巻完結,,B5,
レジェンドオブレムネア 銀の章・金の章,うるし原智志,学研,ノーラ,,,2巻完結,,B5,
ワンダートレック かがみあきら作品集2,かがみあきら,ラポート,-,,1986/6/1,1巻所持,,B5,1: 2000/1/17 1刷<br>2: 2000/3/1 1刷
風の谷のナウシカ,宮崎駿,徳間書店,アニメージュ,,1983/8/25,7巻完結,82年2月号～,B5,1: 2020/11/25 150刷<br>2: 2020/11/25 148刷<br>3: 2020/11/25 137刷<br>4: 2020/11/25 125刷<br>5: 2020/11/25 100刷<br>6: 2020/11/25 104刷<br>7: 2020/11/25 99刷
Hideo Collection5 大冒険児,吾妻ひでお,双葉社,アクションコミックス,,1985/3/23,,,B5,1刷
Hideo Collection6陽はまた昇る,吾妻ひでお,双葉社,アクションコミックス,,1985/4/23,,,B5,1刷
20世紀のための吾妻ひでお,吾妻ひでお,河出書房,-,,2012/1/30,,,B5,やけくそ天使<br>スクラップ学園<br>どろろん忍者<br> どーでもいんなーすぺーす<br>Dr.アジマフ ロボット連れて<br>不気味が走る<br>ちびママちゃん
フェザータッチオペレーション,柴田昌弘,新書館,ペーパームーンコミックス,,1984/8/10,1～3巻未完,,B5,1: 1984/8/10 1刷<br>2: 1986/6/10 1刷<br>3: 1987/8/10 1刷
ドーラ 失われた世界,真鍋譲治,新書館,ペーパームーンコミックス,,1988/1/10,1巻完結,,B5,1刷
AKIRA,大友克洋,講談社,ヤングマガジン,,1984/9/21,6巻完結,82年24号～90年28号,B5,1: 1995/9/20 37刷<br>2: 1995/3/20 27刷<br>3: 1995/3/20 22刷<br>4: 1995/9/20 24刷<br>5: 1990/12/11 1刷<br>6: 1993/3/23 1刷
月曜日のたわわ,比村奇石,講談社,ヤングマガジン,,2021/4/21,1～9巻続刊,20年51号～,B5,1: 2021/4/21 2刷<br>2: 2021/8/2 1刷<br>3: 2021/12/6 1刷<br>4: 2022/4/4 1刷<br>5: 2022/8/1 1刷<br>6: 2022/12/5 1刷<br>7: 2023/5/8 1刷<br>8: 2023/8/7 1刷<br>9: 2023/12/4 1刷<br>
