タイトル,発行,発売日
セーラー服と機関銃,角川書店,1981/12/19
メジャーリーグ2,東宝,1994/6/11
君の名は,東宝,2016/8/26
ブレイブウィッチーズ ペテルブルグ大戦略,角川書店,2017/5/13
ガールズ&パンツァー最終章 第１話,ショウゲート,2017/12/9
リズと青い鳥,松竹,2018/4/21
若おかみは小学生!,東宝,2018/9/21
劇場版シティーハンター 新宿プライバシーアイズ,アニプレックス,2019/2/8
ガールズ&パンツァー最終章 第２話 上巻 BC自由学園,ショウゲート,2019/6/15
ガールズ&パンツァー最終章 第２話 下巻 知波単学園,ショウゲート,2019/6/29
Gのレコンギスタ1 行け!コア・ファイター,バンダイナムコ,2019/11/29
メイドインアビス 深き魂の黎明,角川書店,2020/1/17
Gのレコンギスタ2 ベルリ撃進,バンダイナムコ,2020/2/21
機動警察パトレイバー THE MOVIE リバイバル,東北新社,2020/5/29
シン・エヴァンゲリオン劇場版,東宝,2021/1/23
ARIA The CREPUSCOLO,松竹,2021/3/5
ガールズ&パンツァー最終章 第３話,ショウゲート,2021/3/26
機動戦士ガンダム閃光のハサウェイ,バンダイナムコ,2021/5/7
機動戦士ガンダム閃光のハサウェイ 設定画,バンダイナムコ,2021/5/7
劇場版スタァライト 入場特典 スタッフ本,キネマシトラス,2021/6/4
Gのレコンギスタ3 宇宙からの遺産,バンダイナムコ,2021/7/22
映画トロピカルージュプリキュア雪のプリンセスと奇跡の指輪,東映,2021/10/23
アイの歌声を聴かせて,バンダイナムコ,2021/10/29
ARIA The BENEDIZIONE,松竹,2021/12/3
シン・ウルトラマン,東宝,2022/5/13
シン・ウルトラマン デザインワークス,カラー,2022/5/13
トップガン マーヴェリック,東宝,2022/5/27
機動戦士ガンダムククルス・ドアンの島,バンダイナムコ,2022/6/3
機動戦士ガンダムククルス・ドアンの島 CG MAKING,バンダイナムコ,2022/6/3
機動戦士ガンダムククルス・ドアンの島 クリエイターズブック,バンダイナムコ,2022/6/3
映画ゆるキャン△ すぺしゃるえでぃしょんズラ,FuRyu,2022/7/1
Gのレコンギスタ4 激闘に叫ぶ愛,バンダイナムコ,2022/7/22
Gのレコンギスタ5 死線を越えて,バンダイナムコ,2022/8/5
映画デリシャスパーティプリキュア夢見るお子さまランチ,東映,2022/9/23
ゴティックメード 花の詩女 2022版,角川書店,2022/11/1
THE FIRST SLAMDUNK,東映,2022/12/3
TM NETWORK 40th FANKS inteligence Days,sony,2022/12/28
シン・仮面ライダー,東映,2023/3/17
グリッドマンユニバース,東宝,2023/3/24
ザ・スーパーマリオブラザーズ・ムービー,ユニバーサル,2023/4/28
岸辺露伴ルーヴルへ行く,東宝,2023/5/26
特別編響け!ユーフォニアム アンサンブルコンテスト,松竹,2023/8/4
君たちはどう生きるか,東宝,2023/8/11
映画プリキュアオールスターズF,東映,2023/9/15
ガールズ&パンツァー最終章 第４話,ショウゲート,2023/10/6
機動戦士ガンダムSEEDFREEDUM 設定画,バンダイナムコ,2024/1/26
機動戦士ガンダムSEEDFREEDUM,バンダイナムコ,2024/1/26
