タイトル,筆者,発行,レーベル,発売日,刷数,ジャンル,サイズ,状態
セガハード戦記,奥成洋輔,白夜書房,-,2023/7/11,1版2刷,ゲーム,新書,帯サイン付き
写真作法,土門拳,ダヴィッツ社,-,1978/5/15,6版1刷,随筆,ハードカバー,帯無し
世界の真ん中の木,二木真希子,徳間書店,アニメージュ文庫,1990/7/10,1版2刷,漫画,文庫,帯無し
シュナの旅,宮崎駿,徳間書店,アニメージュ文庫,2007/12/10,1版68刷,漫画,文庫,帯無し
エルピー計画,山岡有子・岸川靖,徳間書店,アニメージュ文庫,1987/2/25,1版2刷,ムック,文庫,帯付き
追想 艦これ,艦これ編集部,角川書店,角川文庫,2016/6/25,1版1刷,ムック,文庫,アニメ帯
クドリャフカの順番,米澤穂信,角川書店,角川文庫,2012/6/25,19版1刷,小説,文庫,アニメ大帯
氷菓,米澤穂信,角川書店,角川文庫,2012/7/15,33版1刷,小説,文庫,アニメ大帯
愚者のエンドロール,米澤穂信,角川書店,角川文庫,2012/7/15,33版1刷,小説,文庫,アニメ大帯
遠回りする雛,米澤穂信,角川書店,角川文庫,2012/7/30,16版1刷,小説,文庫,アニメ大帯
ふたりの距離の概算,米澤穂信,角川書店,角川文庫,2012/8/10,3版1刷,小説,文庫,アニメ帯
鬼兵団ルソンに散る,「丸」編集部,光人社,光人社NF文庫,2014/11/23,1版1刷,小説,文庫,帯無し
響けユーフォニアム 波乱の第二楽章 前編,武田綾乃,宝島社,宝島社文庫,2017/9/9,1版1刷,小説,文庫,アニメ帯
響けユーフォニアム 吹奏楽部日誌,武田綾乃,宝島社,宝島社文庫,2017/9/9,1版2刷,小説,文庫,アニメ帯
響けユーフォニアム 波乱の第二楽章 後編,武田綾乃,宝島社,宝島社文庫,2018/3/21,1版2刷,小説,文庫,アニメ大帯
響けユーフォニアム ホントの話,武田綾乃,宝島社,宝島社文庫,2018/4/19,1版1刷,小説,文庫,アニメ帯
響けユーフォニアム 決意の最終楽章 前編,武田綾乃,宝島社,宝島社文庫,2019/5/1,1版1刷,小説,文庫,アニメ帯
響けユーフォニアム 決意の最終楽章 後編,武田綾乃,宝島社,宝島社文庫,2019/7/6,1版1刷,小説,文庫,アニメ帯
帰ってきたヒトラー上,T.ヴェルメシュ,河出書房,河出文庫,2016/5/29,1版2刷,小説,文庫,帯付き
帰ってきたヒトラー下,T.ヴェルメシュ,河出書房,河出文庫,2016/5/30,1版3刷,小説,文庫,帯付き
